"","x"
"1098","41709820"
"1099","46434953"
"1100","48747599"
"1101","48775849"
"1102","56331653"
"1103","57865488"
"1104","59110211"
"1105","62984734"
"1106","70059146"
"1107","71516685"
"1108","78036405"
"1109","79512141"
"1110","86921557"
"1111","88079558"
"1112","89320683"
"1113","91200366"
"1114","118403959"
"1115","121191340"
"1116","123870364"
"1117","126808954"
"1118","154025314"
"1119","154446053"
"1120","156280209"
"1121","158219561"
"1122","162148293"
"1123","162585169"
"1124","181045213"
"1125","184640267"
"1126","204588723"
"1127","208147387"
"1128","220582584"
"1129","255137259"
"1130","261880369"
"1131","276354887"
"1132","296828290"
"1133","309428828"
"1134","321843137"
"1135","324783445"
"1136","366404717"
"1137","419713240"
"1138","425428195"
"1139","480623499"
"1140","497438236"
"1141","542927381"
"1142","545712675"
"1143","572736744"
"1144","709889666"
"1145","747585390"
"1146","767989286"
"1147","924851732"
"1148","1037299693"
"1149","1424915924"
"1150","1617887827"
"1151","1862431704"
"1152","1891897513"
"1153","2341544919"
"1154","2424806218"
"1155","2426979740"
"1156","2427101451"
"1157","2462268197"
"1158","2502946892"
"1159","2559684815"
"1160","2893568505"
"1161","2997464304"
"1162","3222816662"
"1163","3306215159"
"1164","3452214742"
"1165","4817330533"
"1166","4838107212"
"1167","779360141481213952"
"1168","870621679298523137"
"1169","871064529848987649"
"1170","15829343"
"1171","17642508"
"1172","19700923"
"1173","20245148"
"1174","21107458"
"1175","22557371"
"1176","22721539"
"1177","23348391"
"1178","23753404"
"1179","25850383"
"1180","35825368"
"1181","42630216"
"1182","44798027"
"1183","47197194"
"1184","56556877"
"1185","56805047"
"1186","61598615"
"1187","62451731"
"1188","63211545"
"1189","66810056"
"1190","90955153"
"1191","96170974"
"1192","100214189"
"1193","115560826"
"1194","141368011"
"1195","142005340"
"1196","142038556"
"1197","143567282"
"1198","159184107"
"1199","159513899"
"1200","161269274"
"1201","162011264"
"1202","166808318"
"1203","172929470"
"1204","184931782"
"1205","195977438"
"1206","209329305"
"1207","211289939"
"1208","239177737"
"1209","276047036"
"1210","301140501"
"1211","310679144"
"1212","311490210"
"1213","358203746"
"1214","368584227"
"1215","382956634"
"1216","391047907"
"1217","586973497"
"1218","710518608"
"1219","817206547"
"1220","886160485"
"1221","1146474248"
"1222","1373637786"
"1223","1610198630"
"1224","2148100572"
"1225","2306957896"
"1226","2373881450"
"1227","2858915991"
"1228","3734729356"
"1229","767077752109498368"
"1230","842942491989032960"
"1231","66253"
"1232","13660112"
"1233","14172831"
"1234","16478690"
"1235","30997298"
"1236","31246126"
"1237","34629240"
"1238","40977208"
"1239","43457381"
"1240","58763514"
"1241","77757488"
"1242","99406504"
"1243","118122358"
"1244","121910784"
"1245","128596945"
"1246","136781758"
"1247","164892143"
"1248","187704875"
"1249","190395778"
"1250","231076143"
"1251","246097380"
"1252","251780578"
"1253","252635302"
"1254","359161566"
"1255","383850997"
"1256","391004502"
"1257","398976018"
"1258","421784873"
"1259","491965923"
"1260","522164504"
"1261","714425516"
"1262","828804949"
"1263","978023934"
"1264","1146610256"
"1265","1208246864"
"1266","1373103984"
"1267","1970278015"
"1268","2195958012"
"1269","2240142742"
"1270","2338721108"
"1271","2549311877"
"1272","735571880480886784"
"1273","775343817562071040"
"1274","870600871335342084"
"1275","890652569651089408"
"1276","15626501"
"1277","17190774"
"1278","18071302"
"1279","19309693"
"1280","22703382"
"1281","25364287"
"1282","25420277"
"1283","31465192"
"1284","34028160"
"1285","42450909"
"1286","47397983"
"1287","55450285"
"1288","55584188"
"1289","66420511"
"1290","69507935"
"1291","72581096"
"1292","75122903"
"1293","85443141"
"1294","90585318"
"1295","96448397"
"1296","122152498"
"1297","127118499"
"1298","130642539"
"1299","133445236"
"1300","154216632"
"1301","154633736"
"1302","159891201"
"1303","162720495"
"1304","169609622"
"1305","170394932"
"1306","213341250"
"1307","216052928"
"1308","218382974"
"1309","234979853"
"1310","242165607"
"1311","257660090"
"1312","278137307"
"1313","278204383"
"1314","278679493"
"1315","290653010"
"1316","315296717"
"1317","340413496"
"1318","346846695"
"1319","351393255"
"1320","367260626"
"1321","378087795"
"1322","398365747"
"1323","398719517"
"1324","433510593"
"1325","459893508"
"1326","543040344"
"1327","598633256"
"1328","956540845"
"1329","1639689074"
"1330","1673090610"
"1331","2714890599"
"1332","2779736526"
"1333","2833579809"
"1334","3178722253"
"1335","3249573118"
"1336","4743561296"
"1337","3819851"
"1338","15168549"
"1339","15876728"
"1340","17503648"
"1341","17734782"
"1342","18577023"
"1343","18791913"
"1344","21818314"
"1345","24532384"
"1346","26121847"
"1347","26754847"
"1348","34506051"
"1349","34675318"
"1350","34924296"
"1351","40256580"
"1352","50817963"
"1353","51684161"
"1354","66023097"
"1355","72017364"
"1356","85419571"
"1357","124339670"
"1358","193839170"
"1359","195540755"
"1360","217676638"
"1361","272122007"
"1362","282610757"
"1363","284265020"
"1364","325786388"
"1365","371583786"
"1366","386073473"
"1367","455970037"
"1368","459498801"
"1369","586079037"
"1370","739247036"
"1371","1525291536"
"1372","1629039319"
"1373","1671923082"
"1374","2275614387"
"1375","2335934018"
"1376","2712591734"
"1377","4218415581"
"1378","10046392"
"1379","16186991"
"1380","16885022"
"1381","23836206"
"1382","25747158"
"1383","25756059"
"1384","28482679"
"1385","29561782"
"1386","29772245"
"1387","41061127"
"1388","76531102"
"1389","90956095"
"1390","93916996"
"1391","117267038"
"1392","182042595"
"1393","228628905"
"1394","236876888"
"1395","248916090"
"1396","258680541"
"1397","274213680"
"1398","315199887"
"1399","336673072"
"1400","383953779"
"1401","385039939"
"1402","418142435"
"1403","431726983"
"1404","533576789"
"1405","588518526"
"1406","588567045"
"1407","593165309"
"1408","597724943"
"1409","602759608"
"1410","624446677"
"1411","631333922"
"1412","917121194"
"1413","1445429485"
"1414","1615022306"
"1415","1670805366"
"1416","2172716342"
"1417","2267633525"
"1418","2305021020"
"1419","2502433612"
"1420","2536051544"
"1421","2883370630"
"1422","2989522946"
"1423","3432791873"
"1424","4104687549"
"1425","714405802488913920"
"1426","864300066378579969"
"1427","872104663616770048"
"1428","880800117388955648"
"1429","892710958698827777"
"1430","717443"
"1431","13323312"
"1432","16517141"
"1433","16638129"
"1434","16676404"
"1435","17681515"
"1436","18618872"
"1437","19453659"
"1438","19614746"
"1439","21659026"
"1440","22789346"
"1441","24330129"
"1442","24831735"
"1443","25055750"
"1444","26954259"
"1445","29381220"
"1446","29883586"
"1447","29998633"
"1448","30057896"
"1449","30395344"
"1450","32428493"
"1451","34863280"
"1452","35078290"
"1453","35378705"
"1454","35963178"
"1455","36755192"
"1456","37853891"
"1457","39151897"
"1458","45527941"
"1459","45744330"
"1460","47019217"
"1461","47722767"
"1462","50631820"
"1463","51191522"
"1464","52609286"
"1465","56753936"
"1466","61851157"
"1467","64577333"
"1468","67197846"
"1469","69797971"
"1470","86265662"
"1471","86605718"
"1472","113497119"
"1473","117132215"
"1474","123370073"
"1475","131655092"
"1476","135473465"
"1477","170329598"
"1478","227059933"
"1479","234868361"
"1480","246621603"
"1481","304710704"
"1482","322244534"
"1483","433745380"
"1484","527246120"
"1485","535590434"
"1486","612174952"
"1487","627040932"
"1488","743048179"
"1489","904525663"
"1490","923498839"
"1491","1019768658"
"1492","1138304989"
"1493","1149556724"
"1494","1195519813"
"1495","1336915344"
"1496","1661002392"
"1497","2353745773"
"1498","2463653902"
"1499","2722729194"
"1500","2950423156"
"1501","4871384632"
"1502","780130652209512451"
"1503","850215711020535809"
"1504","896934944957755392"
"1505","12270992"
"1506","14138190"
"1507","17872681"
"1508","23979148"
"1509","25183858"
"1510","25194878"
"1511","28193710"
"1512","28382741"
"1513","31001541"
"1514","32567181"
"1515","32872326"
"1516","37049506"
